a,b,obs,expA,expB,null_mean,null_sd,z,ratioA,ratioB
14:1,22:2,46.0,64.06856490497616,41.33279697457182,42.425,6.320947318242731,0.5655797810056544,0.7179808080331641,1.1129176674953662
14:1,22:4,46.0,62.78591095292459,40.50531355165747,42.37,6.6214122360716985,0.5482214172113805,0.7326484445609099,1.1356534727557412
14:1,22:6,46.0,63.49137062655295,40.96042943426037,42.555,6.748108994377609,0.5105133901764637,0.724507906288011,1.123035100836233
15:0,15:1,45.0,60.22483379222349,38.8530761014122,41.225,5.9493171877115465,0.6345265987494076,0.7472000695801108,1.1582094525165378
15:0,16:0,46.0,115.22933315425425,74.33833799530242,77.645,8.595287953291617,-3.6816683945860538,0.39920390703312586,0.6187924191001798
15:0,17:0,46.0,65.12685514740447,42.01553578408529,44.1,6.736467917239717,0.28204691588266745,0.7063138531084632,1.0948331168830163
15:0,17:1,46.0,62.134712242294,40.085203250505614,41.21,6.326602563777812,0.7571204215394464,0.7403269177561044,1.1475556132902927
15:0,17:2,46.0,62.2620374722987,40.16734506044518,41.81,6.2613017815786485,0.6691899138813882,0.738812956779098,1.1452088737948114
15:0,18:0,46.0,114.59270700423075,73.92762894560462,76.195,9.252403741731115,-3.2634762644232103,0.4014217065166432,0.6222301547618475
15:0,18:1,47.0,117.52118729433886,75.81689057421453,78.21,8.887963771303305,-3.5114904609274133,0.3999278860439495,0.6199146343781183
15:0,18:2,46.0,109.49969780404271,70.6419565480222,73.72,8.136436566458316,-3.4068968366659496,0.420092483563929,0.6511710921926311
15:0,18:3,90.0,119.43106574440938,77.04901772330793,80.865,9.024786701080533,1.012212288508301,0.7535727780626703,1.1680875715145465
15:0,18:4,45.0,60.925122557249345,39.30485605607979,41.075,5.325352101035196,0.7370404670964416,0.738611563033213,1.144896700188761
15:0,19:0,46.0,65.06319253240213,41.974464879115516,43.24,6.320791089729196,0.4366542036937097,0.7070049625537748,1.0959043821637235
15:0,19:1,45.0,62.3893627023034,40.249486870384736,41.615,6.75031665923903,0.5014579568451819,0.7212768018599846,1.1180266755924944
15:0,20:0,46.0,107.27150627896044,69.20447487407988,71.445,8.823659954916664,-2.8837240022856605,0.42881844019582066,0.6646969012292733
15:0,20:1,46.0,63.53528977234571,40.988763159840786,42.575,6.582125416611262,0.5203486386564968,0.7240070859017613,1.1222587961636528
15:0,20:2,46.0,62.83500100731986,40.5369832051732,42.755,6.4261166344846234,0.5049706042660782,0.7320760605166745,1.13476623968726
15:0,20:3,46.0,64.55389161238332,41.64589763935727,43.075,6.348966451321034,0.4607049072359471,0.7125829109762897,1.104550570583161
15:0,20:4,46.0,107.5898193539722,69.40982939892879,72.08,7.556030704013845,-3.4515476473839657,0.4275497465857738,0.6627303423498967
15:0,20:5,46.0,62.51668793230811,40.3316286803243,41.56,5.739024307319144,0.7736506699122248,0.7358035353665557,1.1405440718648936
15:0,21:0,46.0,62.64401316231281,40.41377049026386,41.22,6.2858253236945725,0.7604411121609876,0.7343079997255668,1.1382258928570381
15:0,22:0,46.0,63.853602847357465,41.19411768468969,42.56,6.471970333677372,0.5315228319418749,0.7203978780956708,1.1166642857141829
15:0,22:1,46.0,81.67913504801558,52.69397107622819,54.525,6.7453224533746345,-1.263838765148285,0.563179323250162,0.8729651430797548
15:0,22:2,46.0,63.598952387348064,41.02983406481056,43.265,6.617762083967662,0.413281705400965,0.7232823540840418,1.121135413985311
15:0,22:4,46.0,62.32570008730105,40.20841596541496,42.61,6.846743751594625,0.49512587632777416,0.7380582959447987,1.1440390996642753
15:0,22:6,46.0,63.02598885232691,40.660195920082536,41.94,6.6690629026872985,0.6087811824902755,0.7298576482120785,1.1313275541124501
15:1,16:0,47.0,114.98623329527902,74.18150605860347,76.76,8.364950687242573,-3.557701786023333,0.40874458318246065,0.633581097192472
15:1,16:1,46.0,66.38707944395944,42.8285490780335,44.03,6.608259982779129,0.29811175788085564,0.6929059146039228,1.0740499267483503
15:1,17:0,46.0,64.98945671882345,41.92689541323279,44.005,6.770891743337802,0.2946436120416445,0.7078071170685234,1.0971477746354115
15:1,17:1,46.0,62.003626351487476,40.00063531115856,40.82,6.218327749483778,0.833021385923253,0.7418920909437493,1.149981735094289
15:1,17:2,46.0,62.130682962863474,40.08260382614044,41.0,6.411708040764177,0.7798234055903889,0.7403749292035781,1.1476300342045256
15:1,18:0,46.0,114.35095023839904,73.77166348369406,75.895,7.791275569507218,-3.8369840385315483,0.40227037820061073,0.6235456519177923
15:1,18:1,46.0,117.273252300047,75.65693932827736,77.255,9.121402030389845,-3.426556563987364,0.392246305937757,0.6080076779263413
15:1,18:2,46.0,109.26868578335908,70.49292288441877,72.595,8.029381981198801,-3.3122100881828165,0.42098062834947636,0.6525477752628057
15:1,18:3,90.0,119.17910147068699,76.88646705300559,79.205,9.710971887509514,1.111629209212807,0.7551659551833103,1.1705571012640485
15:1,18:4,45.0,60.79658854341549,39.22193441883068,40.005,6.241392072286439,0.8003022310005522,0.7401731096781035,1.1473172006119932
15:1,19:0,46.0,64.92592841313545,41.88591115574185,43.05,6.451937693437531,0.45722698205851253,0.7084996876331696,1.0982213047475793
15:1,19:1,45.0,62.25773957423947,40.16457234112232,41.69,6.95441586332023,0.4759565814086529,0.7228016999611684,1.1203903683527323
15:1,20:0,46.0,107.0451950842791,69.05847387223582,70.11,8.221794208078919,-2.932449948249614,0.42972503309264054,0.6661021800902233
15:1,20:1,46.0,63.401249076623465,40.902288975959266,42.055,6.254756190292312,0.6307200280840416,0.7255377562736467,1.1246314363246752
15:1,20:2,46.0,62.70243771405547,40.45146214355891,41.395,6.4559255726812745,0.7132981860085863,0.733623790031509,1.1371653226464296
15:1,20:3,46.0,64.41770196763146,41.55803709581433,43.19,6.175265176492422,0.4550411876557008,0.7140894287584806,1.106885772635134
15:1,20:4,46.0,107.3628366127191,69.26339515969053,71.895,8.282751656303601,-3.126376483869653,0.4284536572550884,0.6641314635810806
15:1,20:5,46.0,62.38479618561547,40.246540856104204,41.775,6.460214779711277,0.654003023749131,0.7373591453779016,1.1429553701140795
