head,a,b,obs,null_mean,z
TG,16:1,20:5,34.0,34.74,-0.10995603039512768
TG,16:1,21:0,34.0,34.11,-0.018395291845636395
TG,16:1,22:0,34.0,34.12,-0.01956838502569552
TG,16:1,22:1,57.0,51.39,0.7747118798950745
TG,16:1,22:2,35.0,35.12,-0.020184294162556106
TG,16:1,22:3,35.0,36.45,-0.2479900923892279
TG,16:1,22:4,34.0,34.24,-0.04354118085743392
TG,16:1,22:5,34.0,34.59,-0.10436039577664832
TG,16:1,22:6,34.0,35.25,-0.21316196315773409
TG,17:0,17:1,34.0,33.71,0.05706505830904258
TG,17:0,17:2,34.0,34.83,-0.13619172208377509
TG,17:0,18:0,34.0,34.36,-0.06789987707199423
TG,17:0,18:1,34.0,34.1,-0.016446567610019447
TG,17:0,18:2,34.0,32.89,0.1968447150385602
TG,17:0,18:3,66.0,65.37,0.0766510145787058
TG,17:0,18:4,33.0,32.72,0.04843333926586883
TG,17:0,19:0,34.0,34.05,-0.008318615471690535
TG,17:0,19:1,33.0,34.14,-0.22263077338762555
TG,17:0,20:0,34.0,33.74,0.044647185311878196
TG,17:0,20:1,34.0,34.53,-0.08909249279561061
TG,17:0,20:2,34.0,34.05,-0.00822578729950249
TG,17:0,20:3,34.0,33.24,0.12487170272715009
TG,17:0,20:4,34.0,33.07,0.18997363197862102
TG,17:0,20:5,34.0,34.2,-0.03802803699871264
TG,17:0,21:0,34.0,33.17,0.14965015176445223
TG,17:0,22:0,34.0,34.13,-0.02476612828041891
TG,17:0,22:1,57.0,50.51,0.841298445706937
TG,17:0,22:2,35.0,35.01,-0.0018062816462254673
TG,17:0,22:3,35.0,36.23,-0.22149725421567018
TG,17:0,22:4,34.0,34.66,-0.11371808237308682
TG,17:0,22:5,34.0,33.89,0.01974451727738083
TG,17:0,22:6,34.0,34.37,-0.06852662657232102
TG,17:1,17:2,34.0,34.14,-0.022997095274849617
TG,17:1,18:0,34.0,33.65,0.06347134284327381
TG,17:1,18:1,34.0,34.54,-0.08179152317760284
TG,17:1,18:2,34.0,34.49,-0.0682732735274894
TG,17:1,18:3,66.0,65.24,0.09775584676908958
TG,17:1,18:4,33.0,32.21,0.139728057984453
TG,17:1,19:0,34.0,34.21,-0.03777448892524907
TG,17:1,19:1,33.0,32.83,0.027939862340947013
TG,17:1,20:0,34.0,34.33,-0.05746208387341011
TG,17:1,20:1,34.0,34.14,-0.02286178233679577
TG,17:1,20:2,34.0,34.26,-0.044116997832581356
TG,17:1,20:3,34.0,34.45,-0.07486753924521955
TG,17:1,20:4,34.0,33.89,0.018035719563972943
TG,17:1,20:5,34.0,34.93,-0.15388179433147994
TG,17:1,21:0,34.0,34.71,-0.13160361901822815
TG,17:1,22:0,34.0,33.44,0.10372789547156457
TG,17:1,22:1,57.0,51.12,0.8772641522118774
TG,17:1,22:2,35.0,35.48,-0.07615249575451286
TG,17:1,22:3,35.0,36.41,-0.22171921748583343
TG,17:1,22:4,34.0,34.61,-0.09813480818636502
TG,17:1,22:5,34.0,33.74,0.0457392184782964
TG,17:1,22:6,34.0,35.33,-0.20468540142031869
TG,17:2,18:0,34.0,33.84,0.02966301422091898
TG,17:2,18:1,34.0,33.18,0.1342143086323883
TG,17:2,18:2,34.0,34.04,-0.007143039365573266
TG,17:2,18:3,66.0,66.77,-0.08923550107730636
TG,17:2,18:4,33.0,32.84,0.02901217951224048
TG,17:2,19:0,34.0,34.75,-0.11905136851988177
TG,17:2,19:1,33.0,32.57,0.07563076913852547
TG,17:2,20:0,34.0,34.88,-0.17668830480498351
TG,17:2,20:1,34.0,35.62,-0.2726036835683459
TG,17:2,20:2,34.0,35.08,-0.18611397341278876
TG,17:2,20:3,34.0,34.59,-0.10963229026732994
TG,17:2,20:4,34.0,34.82,-0.15193628435871046
TG,17:2,20:5,34.0,33.94,0.00975172834226843
TG,17:2,21:0,34.0,34.1,-0.017928749299112236
TG,17:2,22:0,34.0,34.4,-0.062302575135466116
TG,17:2,22:1,57.0,50.54,0.9720233201933395
TG,17:2,22:2,35.0,36.57,-0.26797467126874025
TG,17:2,22:3,35.0,35.21,-0.03378061732629197
TG,17:2,22:4,34.0,34.51,-0.07836894160019517
TG,17:2,22:5,34.0,34.59,-0.10508623152355226
TG,17:2,22:6,34.0,35.04,-0.17205154479422258
TG,18:0,18:1,34.0,34.59,-0.09540744834761056
TG,18:0,18:2,34.0,33.68,0.057662244237226386
TG,18:0,18:3,66.0,65.45,0.07382217825702654
TG,18:0,18:4,33.0,34.23,-0.21076635222349765
TG,18:0,19:0,34.0,34.88,-0.14963562949250983
TG,18:0,19:1,33.0,33.83,-0.14301610927730724
TG,18:0,20:0,34.0,34.63,-0.11342039255142461
TG,18:0,20:1,34.0,35.25,-0.2094784113037882
TG,18:0,20:2,34.0,35.04,-0.17752921117800152
TG,18:0,20:3,34.0,33.85,0.023822281659705832
TG,18:0,20:4,34.0,34.71,-0.1180616123868072
TG,18:0,20:5,34.0,34.01,-0.0018496362793546145
TG,18:0,21:0,34.0,34.85,-0.15000843496748903
TG,18:0,22:0,34.0,34.35,-0.06441020853883822
TG,18:0,22:1,57.0,50.53,0.8961158669842054
TG,18:0,22:2,35.0,36.32,-0.22698781260323478
TG,18:0,22:3,35.0,35.89,-0.1479681791855041
TG,18:0,22:4,34.0,33.56,0.07770117273948556
TG,18:0,22:5,34.0,34.89,-0.16556055161148914
TG,18:0,22:6,34.0,34.21,-0.03615004041152583
TG,18:1,18:2,34.0,33.84,0.0266909962184035
TG,18:1,18:3,66.0,64.65,0.16795475369279708
TG,18:1,18:4,33.0,33.07,-0.011906363329892913
TG,18:1,19:0,34.0,34.15,-0.026731428572398165
TG,18:1,19:1,33.0,33.29,-0.051470000913329206
TG,18:1,20:0,34.0,33.44,0.09923339599665536
TG,18:1,20:1,34.0,34.5,-0.08546072145083304
TG,18:1,20:2,34.0,33.52,0.07532287382792333
TG,18:1,20:3,34.0,34.78,-0.12926314587150717
TG,18:1,20:4,34.0,34.77,-0.12073014816416616
TG,18:1,20:5,34.0,33.1,0.16151457061744942
TG,18:1,21:0,34.0,34.26,-0.043158416667579226
TG,18:1,22:0,34.0,34.67,-0.11486841458032383
TG,18:1,22:1,57.0,50.43,0.958281003709817
TG,18:1,22:2,35.0,35.61,-0.102440886849347
TG,18:1,22:3,35.0,34.9,0.019298691110661896
TG,18:1,22:4,34.0,34.57,-0.0946782461930542
TG,18:1,22:5,34.0,34.67,-0.13119335867104936
TG,18:1,22:6,34.0,34.26,-0.047069020785594565
TG,18:2,18:3,66.0,64.64,0.2127328038885811
TG,18:2,18:4,33.0,33.06,-0.010200836706941855
TG,18:2,19:0,34.0,33.44,0.09744451732070764
TG,18:2,19:1,33.0,33.85,-0.14432196239252326
TG,18:2,20:0,34.0,35.02,-0.16341537959869973
TG,18:2,20:1,34.0,34.0,0.0
TG,18:2,20:2,34.0,33.88,0.020287876048777225
TG,18:2,20:3,34.0,34.26,-0.05394190871369255
TG,18:2,20:4,34.0,33.73,0.04981490464751479
TG,18:2,20:5,34.0,33.75,0.04215695756189122
TG,18:2,21:0,34.0,34.31,-0.05453395626410607
TG,18:2,22:0,34.0,34.96,-0.16727074200044953
TG,18:2,22:1,57.0,51.11,0.8182299846673254
TG,18:2,22:2,35.0,36.0,-0.1632122928294128
TG,18:2,22:3,35.0,35.19,-0.033117986768245664
TG,18:2,22:4,34.0,33.42,0.09514130520871526
TG,18:2,22:5,34.0,33.92,0.012971979977011706
TG,18:2,22:6,34.0,34.04,-0.0066760940333664386
TG,18:3,18:4,65.0,64.48,0.06790016292844389
TG,18:3,19:0,66.0,66.24,-0.031578291316551384
TG,18:3,19:1,65.0,63.11,0.22487589994159898
TG,18:3,20:0,66.0,65.25,0.09553752543358543
TG,18:3,20:1,66.0,65.47,0.06694977791459022
TG,18:3,20:2,66.0,64.71,0.1530238343873279
TG,18:3,20:3,66.0,65.91,0.009877480371645217
TG,18:3,20:4,66.0,62.81,0.42441419861507057
TG,18:3,20:5,66.0,63.63,0.34139402388892487
TG,18:3,21:0,66.0,64.43,0.20801527167825046
TG,18:3,22:0,66.0,64.58,0.17470576104760965
TG,18:3,22:1,89.0,95.64,-0.7191506323511861
TG,18:3,22:2,67.0,67.09,-0.01117500371762988
TG,18:3,22:3,67.0,67.22,-0.02535080435842801
TG,18:3,22:4,66.0,65.15,0.10642683207692359
TG,18:3,22:5,66.0,65.69,0.03614588323662409
TG,18:3,22:6,66.0,66.61,-0.0843505094354596
TG,18:4,19:0,33.0,32.62,0.06254298871563842
TG,18:4,19:1,33.0,32.36,0.11340247380892317
TG,18:4,20:0,33.0,33.58,-0.09425774418092459
TG,18:4,20:1,33.0,33.41,-0.06806735043189815
TG,18:4,20:2,33.0,32.98,0.003641809353656191
TG,18:4,20:3,33.0,34.09,-0.18021600945681918
TG,18:4,20:4,33.0,31.64,0.2403772474739268
TG,18:4,20:5,33.0,31.63,0.2796902873367353
TG,18:4,21:0,33.0,34.19,-0.21500364181539444
TG,18:4,22:0,33.0,31.54,0.2680438164974609
TG,18:4,22:1,33.0,47.98,-2.2159278407707244
TG,18:4,22:2,33.0,34.68,-0.2659719857595056
TG,18:4,22:3,33.0,34.14,-0.21074861147552582
TG,18:4,22:4,33.0,32.21,0.1546764438685669
TG,18:4,22:5,33.0,33.88,-0.152943822580375
TG,18:4,22:6,33.0,32.9,0.019676044536698786
TG,19:0,19:1,33.0,34.23,-0.2443580544614958
TG,19:0,20:0,34.0,34.43,-0.07921628945562824
TG,19:0,20:1,34.0,33.35,0.12286588220969087
TG,19:0,20:2,34.0,34.88,-0.16569713559287097
TG,19:0,20:3,34.0,33.42,0.09822948757097326
TG,19:0,20:4,34.0,34.24,-0.044457863108587105
TG,19:0,20:5,34.0,34.31,-0.051728562436581034
TG,19:0,21:0,34.0,33.8,0.034330021599598616
TG,19:0,22:0,34.0,33.24,0.12912478347836326
TG,19:0,22:1,57.0,50.11,0.9924420651237983
TG,19:0,22:2,35.0,36.27,-0.22766913797814128
TG,19:0,22:3,35.0,36.01,-0.19997098955020456
TG,19:0,22:4,34.0,35.1,-0.18773955470806053
TG,19:0,22:5,34.0,34.91,-0.14180390886928948
TG,19:0,22:6,34.0,34.57,-0.09287638288758296
TG,19:1,20:0,33.0,32.07,0.19980327364440428
TG,19:1,20:1,33.0,33.61,-0.10917620460759682
TG,19:1,20:2,33.0,33.49,-0.09618962591014048
TG,19:1,20:3,33.0,31.99,0.19426705400334066
TG,19:1,20:4,33.0,33.0,0.0
TG,19:1,20:5,33.0,33.1,-0.017352640209845366
TG,19:1,21:0,33.0,32.53,0.08212930982822403
TG,19:1,22:0,33.0,32.98,0.003456526297468872
TG,19:1,22:1,33.0,48.27,-2.4030979631492997
TG,19:1,22:2,33.0,33.55,-0.09115222211957111
TG,19:1,22:3,33.0,33.96,-0.1503336293247072
TG,19:1,22:4,33.0,32.67,0.054061252590411106
TG,19:1,22:5,33.0,33.38,-0.06360280268665743
TG,19:1,22:6,33.0,33.36,-0.06534619300841249
TG,20:0,20:1,34.0,34.63,-0.10908686141604437
TG,20:0,20:2,34.0,35.15,-0.2037793474588181
TG,20:0,20:3,34.0,34.75,-0.12650685046115023
